1924年在法国夏蒙尼冬奥会上决出的第一个项目是什么？,男子500米速度滑冰
1936年加米施-帕滕基兴冬奥会首次列人的4X10公里越野滑雪接力赛，芬兰选手奋力拼搏，以多少秒钟的微弱优势赢得了冠军？,6
1936年加米施-帕滕基兴冬奥会本届共17个单项，挪威队表演出色，夺回了在普莱西德湖失去的优势，获金牌7枚、银牌5枚、铜牌多少枚？,3
1936年加米施-帕滕基兴冬奥会第四届冬季奥林匹克运动会于多少年在德国的两个城市加米施和帕滕基兴举行？,1936
1936年加米施-帕滕基兴冬奥会一人独得多少米、5000米、10000米三块金牌；他的队友查尔斯-马蒂森获1500米金牌，而巴兰格鲁德以1秒之差在本项中屈居亚军？,500
1936年加米施-帕滕基兴冬奥会拉尔松夺冠，挪威的奥-哈根以多少分05秒之差屈居亚军？,1
1936年加米施-帕滕基兴冬奥会首次列人的多少X10公里越野滑雪接力赛，芬兰选手奋力拼搏，以6秒钟的微弱优势赢得了冠军？,4
1936年加米施-帕滕基兴冬奥会双人座蝉联了冠军。多少人座金、银牌为瑞士一、二队夺走？,4
1936年加米施-帕滕基兴冬奥会而在冰球比赛前，连续蝉联多少届冠军的加拿大对英国提出了抗议，因为英国队中有8名主力选手是加拿大人？,3
1936年加米施-帕滕基兴冬奥会本届共多少个单项？,17
1936年加米施-帕滕基兴冬奥会第四届冬季奥林匹克运动会于多少年在德国举行？,1936
1952奥斯陆冬奥会的参赛国家地区有多少？,30个
1952奥斯陆冬奥会的正式名称是什么？,第六届挪威奥斯陆冬奥会
1952奥斯陆冬奥会的主办地在哪？,挪威奥斯陆
1952奥斯陆冬奥会的中文名是什么？,1952年奥斯陆冬奥会
1952奥斯陆冬奥会的小项有多少？,22项
1952奥斯陆冬奥会的大项有多少？,4项
1952奥斯陆冬奥会的时间是什么时候？,1952.2.14-25
1952奥斯陆冬奥会应邀参加本届比赛的运动员有多少？,694人
1952奥斯陆冬奥会应邀参加本届比赛的男运动员有多少？,585人
1952奥斯陆冬奥会应邀参加本届比赛的女运动员有多少？,109人
1952奥斯陆冬奥会挪威之所以在冬奥会上成绩出色，与什么有很大的关系？,它雄厚的群众基础
1952奥斯陆冬奥会捷克斯洛伐克队这次全由青年选手组成，他们与瑞典队积分、净胜分均相等，但在争第三名的重赛中以3:5失利，瑞典队获得了第几名？,第三名
1952奥斯陆冬奥会高山滑雪中的两项全能被取消了，改为传统的3项是什么？,大回转障碍滑雪、回转障碍滑雪和快速降下
1952奥斯陆冬奥会山地滑雪中的山地两项被取消了，改为传统的3项是什么？,大回转障碍滑雪、回转障碍滑雪和快速降下
1952奥斯陆冬奥会而第一次列人比赛项目的女子10公里越野滑雪，以哪位运动员为首的芬兰3名选手，囊括了全部的奖牌？,吕-维代曼
1952奥斯陆冬奥会因为比赛这天(2月16日)，恰好她满28周岁，以什么作为自己生日的礼物也是惬意的？,奥运会银牌
1952奥斯陆冬奥会冬奥会从1924年开始，无论会址是夏蒙尼、圣莫里茨，还是普莱西德湖或加米施-帕滕基兴，都只是偏僻的山镇，人烟稀少，有的甚至居民不足两千人吗？,没错
1952奥斯陆冬奥会比赛项目首次列入了女子多少公里越野滑雪？,10
1952奥斯陆冬奥会冬季奥林匹克运动会于1952年2月14日至多少日在挪威奥斯陆举行？,25
1952奥斯陆冬奥会克里斯蒂安，沿用到多少年？,1925
1952奥斯陆冬奥会本届比赛项目首次列人女子多少公里越野滑雪？,10
1952奥斯陆冬奥会本届冬奥会的头号新闻人物是谁？,早已驰名冰坛的28岁老将马尔-安德森
1952奥斯陆冬奥会本届冬奥会28岁老将马尔-安德森他一人包下多少个项目的金牌？,3
1952奥斯陆冬奥会纳丹佩佐3个申办城市中，选择了奥斯陆举办多少年第六届冬奥会？,1952
1952奥斯陆冬奥会挪威王国首都，但人口不到多少万？,50
1952奥斯陆冬奥会1950、多少年他连续两次登上世界全能冠军宝座？,1951
1952奥斯陆冬奥会接力赛场面非常壮观，沿途观看的达多少万人之多？,5
1952奥斯陆冬奥会意大利33岁的老将泽科洛，是山地滑雪能手，多少年曾获世界冠军？,1950
1952奥斯陆冬奥会赛共多少个队参加？,9
1952奥斯陆冬奥会加拿大队在历届共参加了多少场冰球赛？,41场
1952奥斯陆冬奥会加拿大队在历届参加的冰球赛中总战绩是多少？,37胜1负3平
1952奥斯陆冬奥会加拿大队在历届冰球赛所参加的41场比赛中总的战绩为37胜1负3平，进球403个，失球多少个？,34
1952奥斯陆冬奥会奥运圣火从哪位运动员家中被点燃？,滑雪运动员努尔海姆
1952奥斯陆冬奥会奥运圣火从努尔海姆并经过了多少名滑雪运动员的接力传递后来到奥运会主体育场在主运动场中点燃的大会圣火火炬，成为冬奥会第一次正式的圣火？,94
奥斯陆冬季奥林匹克运动会于多少年2月14日至25日在挪威奥斯陆举行？,1952
1952奥斯陆冬奥会每年几月第一个星期天是滑雪节，这一天，奥斯陆男女老少都外出参加滑雪运动？,3
1952奥斯陆冬奥会冬奥会从多少年开始，都是在偏僻的小山镇举行的，而本届是冬奥会第一次由大城市承办？,1924
1952奥斯陆冬奥会本届冬奥会的头号新闻人物是早已驰名冰坛的多少岁老将马尔-安德森，他一人包下1500米、5000米、10000米3个项目的金牌？,28
1952奥斯陆冬奥会赛共多少个队参加，加拿大蝉联了冠军，美国居亚军，瑞典队获铜牌？,9
1952冬奥会在多少个申办城市中，选择了奥斯陆举办1952年第六届冬奥会？,3
1952奥斯陆冬奥会捷克斯洛伐克队这次全由青年选手组成，他们与瑞典队积分、净胜分均相等，但在争第三名的重赛中以多少:5失利，瑞典队获得了铜牌？,3
1952奥斯陆冬奥会本届多少个单项比赛全部结束后，挪威再次居领先地位，共获金牌7枚，银牌3枚，铜牌6枚；美国也夺得了仅次于1932年的最好成绩，获金牌4枚，银牌6枚，铜牌1枚；芬兰队金、银、铜牌分别为3、4、2枚？,22
1960年美国斯阔谷冬奥会为什么雪橇比赛第一次也是唯一一次在冬奥会中缺席？,因为报名国家太少只有9个
1960斯阔谷冬奥会的时间是什么？,1960.2.18-1960.2.28
1960斯阔谷冬奥会的参赛运动员有多少人？,665人
1960斯阔谷冬奥会的小项有多少？,27项
1960斯阔谷冬奥会的参赛国家有多少？,30个
1960斯阔谷冬奥会的大项有多少？,4项
1960斯阔谷冬奥会参赛的女运动员有多少人？,143人
1960斯阔谷冬奥会参赛的男运动员有多少人？,522人
1960斯阔谷冬奥会参赛的地区有几个？,1个
1960斯阔谷冬奥会大会共设有什么？,4个大项27个单项比赛
1960斯阔谷冬奥会的冰场能容纳多少人？,1万1千名观众
1960斯阔谷冬奥会奥林匹克村供运动员住宿，这是冬奥会史上第一次有什么？,专门的运动员村
1960斯阔谷冬奥会每一项目结束后，计算机只需几秒钟就用英德两种文字公布全部比赛成绩，并附有什么？,运动员的简单履历.
1960斯阔谷冬奥会每一项目结束后，计算机公布比赛成绩有什么好处？,这大大地减少了裁判的统计工作，缩短了成绩公布的时间
1960斯阔谷冬奥会首次出现在冬奥会比赛中的现代冬季两项，为什么既要求运动员有良好的滑雪技术，又要求枪打得准？,因为现代冬季两项由滑雪和射击两个完全不同的项目组成
1960斯阔谷冬奥会同男子项目一样，苏联同样占有什么？,明显优势
1960斯阔谷冬奥会女子项目，苏联获得了几项冠军？,3项
1960斯阔谷冬奥会苏联著名女速滑手利迪娅斯科布利科娃获得了几枚金牌？,2枚
1960斯阔谷冬奥会哪个比赛项目在冬夏季奥运会均设有？,现代五项和冬季两项同盟
1960斯阔谷冬奥会在这届比赛中首次成为比赛项目的是哪一项？,冬季两项
1960斯阔谷冬奥会冬季两项包括哪两项？,包括了越野滑雪和射击两项
1960斯阔谷冬奥会哪位运动员首次获得了冬季两项的金牌？,来自瑞典的运动员莱斯坦德
1960斯阔谷冬奥会宣布本届冬奥会开幕的是谁？,时任美国副总统的里查德·尼克松
1960斯阔谷冬奥会宣布不举办哪一项比赛？,雪橇比赛
1960斯阔谷冬奥会这一天，他正好满22周岁，同时又获得了哪一项目的金牌？,5000米赛
1960斯阔谷冬奥会芬兰的越野滑雪运动员维科-哈库利宁总共获得了多少枚金牌？,七枚奥运奖牌
1960斯阔谷冬奥会在本届比赛中，他就是以这种新装备获得了哪个项目的金牌？,高山速降
1960斯阔谷冬奥会哪个国家首次与冬奥会接触？,中国
1960斯阔谷冬奥会大会共设有4个大项多少个单项比赛？,27
1960斯阔谷冬奥会体育设施完备，并有一个可容1万多少千名观众的冰场？,1
1960斯阔谷冬奥会2月18日举行了隆重的开幕式、互万多少千名观众出席了盛会？,5
1960斯阔谷冬奥会萨科娃为首的多少名女将囊括了前四名？,4
1960斯阔谷冬奥会闭幕式那天，大会组委会组织了一次优秀速滑运动员破纪录赛，前苏联的格里申以39秒6创世界纪录，成为世界上第一个用不到40秒时间滑完多少米的选手？,500
1960斯阔谷冬奥会速滑场上，苏联在男子比赛时再现了上届的成就，夺取了4枚金牌中的多少枚？,3
1960斯阔谷冬奥会挪威这次成绩也不差，除奥斯获1500米赛金牌外，克约翰内森在最后哪一项比赛中赢得了胜利？,10000
1960斯阔谷冬奥会冰球比赛共多少个队参加？,9
1960斯阔谷冬奥会本届共举行了27个单项比赛，由于同上届一样的原因，在男子速滑中有两人并列冠军，共决出了多少枚金牌？,28
1960斯阔谷冬奥会2月18日举行了隆重的开幕式，1万多少千名观众出席了盛会？,5
1960斯阔谷冬奥会图为哪一年美国斯阔谷冬奥会冬奥会火炬效果图？,1960
1960斯阔谷冬奥会第20届冬奥会将于2月10日在意大利北部城市都灵进行，历届冬奥会奖牌设计各具特色，图为第多少届美国斯阔谷奖牌？,8
1960斯阔谷冬奥会库利宁只参加了50公里越野滑雪的比赛，但他以4分多少秒的优势夺冠？,38
1960斯阔谷冬奥会在开始进行的30公里比赛中，他名列第六，在多少公里滑雪中夺得铜牌？,15
1960斯阔谷冬奥会大会共设有多少个大项27个单项比赛？,4
"1960斯阔谷冬奥会冬奥会的筹办过程进展得不很顺利，这个距离加州旧金山多少公里，海拔1,900米的山城，在向国际奥会提出申办时，完全没有比赛的运动设施和场馆？",300
1960斯阔谷冬奥会斯阔谷风景优美，是美国重要的旅游胜地，海拔多少米，以往的冬奥会会址的海拔高度都比这里低，本届冬奥会是第一次在海拔较高点举行的冬季盛会？,1889
1960斯阔谷冬奥会欧洲国家在本届花样滑冰赛中遭到了自哪一届冬奥会创办以来的第一次失败，一块金牌也没拿到，而美洲则出尽了风头？,第一届
1960斯阔谷冬奥会欧洲在滑雪赛中仍占上风，男子越野滑雪依旧是芬兰、挪威、瑞典等国争雄，除了哪位运动员是上届50公里金牌获得者外，其余获桂冠的多是新人？,瑞典的西耶恩伯格
1960斯阔谷冬奥会本届只有男子20公里个人赛，谁赢得了这项胜利？,瑞典的西耶恩伯格
1960斯阔谷冬奥会冰球比赛共多少个队参加，美国队获冠军，加拿大获亚军？,9
1960斯阔谷冬奥会闭幕式那天，大会组委会组织了一次优秀速滑运动员破纪录赛，前苏联的格里申以多少秒6创世界纪录，成为世界上第一个用不到40秒时间滑完500米的选手？,39
1960斯阔谷冬奥会速滑场上，苏联在男子比赛时再现了上届的成就，夺取了多少枚金牌中的3枚？,4
1960斯阔谷冬奥会现象，格里申和挪威罗奥斯的成绩均为多少分10秒4？,2
1960斯阔谷冬奥会这一天，维克托·科西奇金正好满多少周岁，同时又获得了5000米赛的金牌，使自己的生日倍增光彩？,22
1960斯阔谷冬奥会东道主以多少:1战胜最后对手加拿大队，首次赢得了桂冠？,2
1960斯阔谷冬奥会库利宁只参加了哪一项的比赛，但他以4分38秒的优势夺冠？,50公里越野滑雪
哪一届冬奥会是亚洲举办的第一届奥运会？,第十一届日本札幌冬奥会
日本仅在哪一届冬奥会上获过1枚银牌？,第七届冬奥会
1972札幌冬奥会为什么具有国际性？,因为冬奥会在不同的地区不同的国度举行
1972札幌冬奥会斯特拉获得了几枚银牌，几枚铜牌？,1枚银牌和2枚铜牌
1972札幌冬奥会伊琳娜-罗德尼娜和亚历山大-乌兰诺夫，首次参加冬奥会，获得了第几名？,男女双人滑冠军
1972札幌冬奥会第二次世界大战后，扎幌发展为经济繁荣的城市，尤以哪几项业务为盛？,商业和服务业
1972札幌冬奥会海运以哪为外港？,临日本海的小樽
1972札幌冬奥会无舵雪橇比赛中大显身手，以沃·沙伊德尔和以谁为首的6名男女选手，包揽了男女单座的全部奖牌？,安米勒
1972札幌冬奥会无舵雪橇比赛中大显身手，以沃·沙伊德尔和以安·米勒为首的6名男女选手，在男子双座中，也与意大利队并列，获第几名？,一
1972札幌冬奥会扎幌是日本最北面的城市，自1869年设为行政中心，多少年设市？,1922
1972札幌冬奥会火炬从奥林匹亚传到日本本土后，大会组织了1万5千名年龄在11～多少岁之间的青少年进行火炬接力跑？,20
1972札幌冬奥会格鲁德、安德森之后第三个在一届奥运会上取得多少枚金牌的男子速滑选手？,3
1972札幌冬奥会美国的安·亨宁在500米赛中获金牌；在上届只获500米、1500米铜牌的黛·霍勒姆获哪一项金牌？,1500米赛
1972札幌冬奥会哪位运动员在男子30公里赛中，成为本届的第一个冠军？,维切斯夫韦杰宁
1972札幌冬奥会哪位运动员是前苏联在男子越野滑雪个人赛中第一个金牌获得者？,维切斯夫韦杰宁
1972札幌冬奥会维切斯夫·韦杰宁在4X10公里赛中获得第几名？,第一名
1972札幌冬奥会本届高山滑雪成绩最突出的是瑞士队，在男女项目中共获取了多少枚金牌？,3
1972札幌冬奥会大回转赛中夺得多少枚金牌？,2
1972札幌冬奥会有舵雪橇的男子双座和多少人座由前联邦德国和瑞士分获金牌？,4
1972札幌冬奥会冬奥会上，也仅在哪一年冬奥会上获过1枚银牌，但日本的扎幌却出人意料击败强有力的对手，夺得了主办权？,1956
1972札幌冬奥会扎幌是日本最北面的城市，自什么时候设为行政中心，1922年设市？,1869
1972札幌冬奥会同第几届夏季奥运会一样，日本组织了大型的火炬接力活动？,1964
1972札幌冬奥会扎幌冬奥会吸引了多少名记者前来采访？,3895
1972札幌冬奥会当时男子各项距离赛，除5000米外，谁都居领先地位？,荷兰
1972札幌冬奥会美国的安·亨宁在500米赛中获第几名？,第一名
1972札幌冬奥会在上届只得500米、1500米第二名的黛·霍勒姆这届获1500米第几名？,第一名
1972札幌冬奥会维切斯夫·韦杰宁在男子30公里赛中，成为本届的第几个冠军？,一个
1972札幌冬奥会维切斯夫·韦杰宁是前苏联在男子越野滑雪个人赛中第一个金牌获得者，他还在4X10公里赛中获几枚金牌？,1
1972札幌冬奥会跳台滑雪的哪一项冠军被波兰的沃-福尔图纳获取，这也是波兰第一次取得这样的成就？,90米台
1972札幌冬奥会索尔伯格蝉联了个人冠军，他在开幕式后翌日刚满多少周岁，金牌成了他生日的礼物？,35
1972札幌冬奥会日本队夺得的第一枚冬奥会金牌是在哪个比赛项目？,70米跳台滑雪
1972札幌冬奥会国际奥委会允许来自社会主义国家的冰球运动员参赛，他们从什么时候开始，就不再派冰球队参加国际比赛，也抵制了这次冬奥会？,1969
1972札幌冬奥会国际奥委会共有多少个成员国/地区参加了本届冬奥会比赛？,37个
1972札幌冬奥会共有多少名运动员参赛？,1072人
1972札幌冬奥会共有多少名男运动员参赛？,839人
1972札幌冬奥会共有多少名女运动员参赛？,233人
1972札幌冬奥会哪些国家是第一次参加冬奥会？,中国、哥斯达黎加和塞浦路斯
1972札幌冬奥会新增加了哪项比赛项目？,现代冬季两项10公里个人赛
1972札幌冬奥会共设了多少个大项的比赛？,6个
1972札幌冬奥会共设了多少个小项的比赛？,38个
1972札幌冬奥会现代冬季两项和雪橇赛事在哪举办？,霍文伯格山
1972札幌冬奥会跳雪赛事在哪举办？,特维尔雪场
1972札幌冬奥会滑雪赛事在哪举办？,怀特菲斯山
1972札幌冬奥会滑冰，冰球赛事在哪举办？,奥林匹克中心冰场
1980普莱西德湖冬奥会在什么时候举办？,1980年2月13日-24日
1980普莱西德湖冬奥会的举办地点在哪？,美国普莱西德湖
1980普莱西德湖冬奥会奥运会强手如林，成绩卓著，仅男女速度滑冰的9个项目就有多少人打破奥运会记录？,63人
1980普莱西德湖冬奥会奥运会强手如林，成绩卓著，仅男女速度滑冰的9个项目就有多少次打破奥运会记录？,108次
1980普莱西德湖冬奥会奥运会强手如林，成绩卓著，仅男女速度滑冰的9个项目打破了几项世界纪录？,1项
1980普莱西德湖冬奥会谁也是冰坛风云人物？,海登的妹妹贝恩·海登
1980普莱西德湖冬奥会民主德国在雪橇赛中获得了几项冠军？,4项
1980普莱西德湖冬奥会本届大会期间，从世界各地涌来的客人有将近多少人？,5万人
1980普莱西德湖冬奥会开幕会由谁宣布？,副总统蒙代尔
1980普莱西德湖冬奥会由花样滑冰改练速滑不久的民主德国18岁的卡林·恩克获得了哪一项目的冠军？,500米速滑
1980普莱西德湖冬奥会速滑1500米冠军是谁？,荷兰28岁的女护士安妮·博尔金克
1980普莱西德湖冬奥会哪位运动员由花样滑冰改练速滑？,民主德国的卡林·恩克
为什么他在1980普莱西德湖冬奥会被授予第十三届冬奥会杰出运动员的光荣称号？,因为海登囊括了全部5个速滑项目的金牌
1980普莱西德湖冬奥会这个小镇固然有承办运动会的经验，但1932年冬奥会无论从参加人数(17国307人)还是竞赛规模(17个单项)都是无法与本届相提并论的吗？,没错
1980普莱西德湖冬奥会在哪位运动员参加了速滑的5个项目比赛？,美国速滑运动员埃里克·海登
1980普莱西德湖冬奥会速滑从500米到10000米，哪位运动员全部打破奥运会纪录？,美国速滑运动员埃里克·海登
1980普莱西德湖冬奥会美国速滑运动员埃里克海将10000米世界纪录缩短了多少秒？,
1980普莱西德湖冬奥会奥运会组委会从什么时候就开始大兴土木？,1977
1980普莱西德湖冬奥会运动员在内的客人就达多少万人之多？,5
1980普莱西德湖冬奥会随后海登在速滑10000米以多久的成绩刷新了世界纪录？,14分28秒13
1980普莱西德湖冬奥会著名选手苏联的娜特鲁谢娃和挪威的布埃延森分获了1000、3000米第几名？,第一名
1980普莱西德湖冬奥会罗德尼娜是什么时候世界最著名的花样滑冰运动员？,70年代后期
1980普莱西德湖冬奥会女子项目哪位运动员成绩最成绩突出?,民主德国的芭芭拉·佩措尔德
1980普莱西德湖冬奥会芭芭拉·佩措尔德在10公里和接力项目中获第几名？,一名
1980普莱西德湖冬奥会20岁安东·伊瑙尔带伤上阵，在哪一项目中也独占鳌头？,70米跳台跳雪
1980普莱西德湖冬奥会20岁的替补队员莱昂哈德·斯托克，在哪一项比赛中意外取胜？,速降比赛
1980普莱西德湖冬奥会大回转赛中各得银牌多少枚？,1
1980普莱西德湖冬奥会民主德国在雪橇赛中仍占有较大优势，获全部5项中的多少项冠军？,4
1980普莱西德湖冬奥会苏联自1956年参加奥运会冰球赛以来，曾5次夺魁，美国队于哪年也曾获一次冠军？,1960
1980普莱西德湖冬奥会这支美国历史上最年轻的冰球队在比分三度落后的不利形势下顽强奋战，结果以4:多少反败为胜？,3
1980普莱西德湖冬奥会2月24日美国对芬兰再以4:2取胜，实现了他们东山再起的宿愿，打破了苏联自哪年来垄断冰球冠军的局面？,1964
1980普莱西德湖冬奥会运动员，参加了滑冰、滑雪、现代冬季两项的多少个单项比赛？,18
1980普莱西德湖冬奥会本届竞赛项目除增加1项现代冬季两项10公里个人赛外，其余均与上届相同，大会共设6个大项多少个小项的比赛？,38
1980普莱西德湖冬奥会大会共招募到多少名志愿服务者？,6703
1980普莱西德湖冬奥会在他参加的多少个项目比赛：从500米到10000米，他全部打破奥运会纪录，还将10000米的世界纪录缩短了6.20秒？,5
"1980普莱西德湖冬奥会自哪年冬奥会在这里召开以后，普莱西德湖这个人口不多(1932年不足2千人,1980年为2700人左右)的山间小镇，成为美国冬季运动活跃的场所之一？",1932
1980普莱西德湖冬奥会普莱西德湖奥林匹克之火是什么时候在奥林匹亚林中点燃的，于开幕前一天传到主办地？,29250
1980普莱西德湖冬奥会2月13日当地时间几点，运动会正式开幕？,2时半
